Predecessor TID,	Predecessor JID,	Successor TID, Successor JID
0, 0, 0, 6
0, 1, 0, 7
0, 2, 0, 8
0, 3, 0, 9
0, 4, 0, 10
0, 5, 0, 11
0, 0, 0, 12
0, 1, 0, 13
0, 2, 0, 14
0, 3, 0, 15
0, 4, 0, 16
0, 5, 0, 17
0, 6, 0, 18
0, 7, 0, 19
0, 8, 0, 20
0, 9, 0, 21
0, 10, 0, 22
0, 11, 0, 23
0, 12, 0, 18
0, 13, 0, 19
0, 14, 0, 20
0, 15, 0, 21
0, 16, 0, 22
0, 17, 0, 23
1, 24, 1, 28
1, 25, 1, 29
1, 26, 1, 30
1, 27, 1, 31
1, 24, 1, 32
1, 25, 1, 33
1, 26, 1, 34
1, 27, 1, 35
1, 28, 1, 36
1, 29, 1, 37
1, 30, 1, 38
1, 31, 1, 39
1, 28, 1, 40
1, 29, 1, 41
1, 30, 1, 42
1, 31, 1, 43
1, 32, 1, 44
1, 33, 1, 45
1, 34, 1, 46
1, 35, 1, 47
1, 36, 1, 44
1, 37, 1, 45
1, 38, 1, 46
1, 39, 1, 47
1, 40, 1, 44
1, 41, 1, 45
1, 42, 1, 46
1, 43, 1, 47
2, 48, 2, 51
2, 49, 2, 52
2, 50, 2, 53
2, 51, 2, 54
2, 52, 2, 55
2, 53, 2, 56
