   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 2, 2, 20, 20
0, 1, 20, 20, 2, 2, 40, 40
0, 2, 40, 40, 2, 2, 60, 60
0, 3, 60, 60, 2, 2, 80, 80
0, 4, 80, 80, 2, 2, 100, 100
0, 5, 100, 100, 2, 2, 120, 120
0, 6, 0, 0, 4, 4, 20, 20
0, 7, 20, 20, 4, 4, 40, 40
0, 8, 40, 40, 4, 4, 60, 60
0, 9, 60, 60, 4, 4, 80, 80
0, 10, 80, 80, 4, 4, 100, 100
0, 11, 100, 100, 4, 4, 120, 120
0, 12, 0, 0, 3, 3, 20, 20
0, 13, 20, 20, 3, 3, 40, 40
0, 14, 40, 40, 3, 3, 60, 60
0, 15, 60, 60, 3, 3, 80, 80
0, 16, 80, 80, 3, 3, 100, 100
0, 17, 100, 100, 3, 3, 120, 120
0, 18, 0, 0, 4, 4, 20, 20
0, 19, 20, 20, 4, 4, 40, 40
0, 20, 40, 40, 4, 4, 60, 60
0, 21, 60, 60, 4, 4, 80, 80
0, 22, 80, 80, 4, 4, 100, 100
0, 23, 100, 100, 4, 4, 120, 120
1, 24, 0, 0, 5, 5, 30, 30
1, 25, 30, 30, 5, 5, 60, 60
1, 26, 60, 60, 5, 5, 90, 90
1, 27, 90, 90, 5, 5, 120, 120
1, 28, 0, 0, 3, 3, 30, 30
1, 29, 30, 30, 3, 3, 60, 60
1, 30, 60, 60, 3, 3, 90, 90
1, 31, 90, 90, 3, 3, 120, 120
1, 32, 0, 0, 4, 4, 30, 30
1, 33, 30, 30, 4, 4, 60, 60
1, 34, 60, 60, 4, 4, 90, 90
1, 35, 90, 90, 4, 4, 120, 120
1, 36, 0, 0, 5, 5, 30, 30
1, 37, 30, 30, 5, 5, 60, 60
1, 38, 60, 60, 5, 5, 90, 90
1, 39, 90, 90, 5, 5, 120, 120
1, 40, 0, 0, 3, 3, 30, 30
1, 41, 30, 30, 3, 3, 60, 60
1, 42, 60, 60, 3, 3, 90, 90
1, 43, 90, 90, 3, 3, 120, 120
1, 44, 0, 0, 1, 1, 30, 30
1, 45, 30, 30, 1, 1, 60, 60
1, 46, 60, 60, 1, 1, 90, 90
1, 47, 90, 90, 1, 1, 120, 120
2, 48, 0, 0, 2, 2, 40, 40
2, 49, 40, 40, 2, 2, 80, 80
2, 50, 80, 80, 2, 2, 120, 120
2, 51, 0, 0, 1, 1, 40, 40
2, 52, 40, 40, 1, 1, 80, 80
2, 53, 80, 80, 1, 1, 120, 120
2, 54, 0, 0, 3, 3, 40, 40
2, 55, 40, 40, 3, 3, 80, 80
2, 56, 80, 80, 3, 3, 120, 120
